Kinan Principe|10987654321|23
Anthony Jesus Ramos Rodrigues|21436587091|22
Cauan Pinho|01918273645|21
Aline Correa Nunes|10192837465|20
Franziska Von Karma|11122233344|19
Ivo Antonio Ribeiro Rodrigues|12390145678|26
Gabriel Rodrigues Magalhães|01923873465|19
Alice Sato|44433322211|20
Fenix Verissimo|77711144400|24
Eduardo Spada|11133355577|25
Beatriz Barauna|12345678901|19


202601|12345678901|TADS|2026|10,000000|3000
202601|10987654321|TADS|2026|9,400000|2000
202502|21436587091|TADS|2025|8,200000|1000
202601|01918273645|CC|2026|7,000000|2000
202501|10192837465|TADS|2025|10,000000|2000
202601|11122233344|CC|2026|6,000000|2000
202502|12390145678|TADS|2026|10,000000|3000
202601|01923873465|CC|2026|8,000000|2000
202501|44433322211|TADS|2025|10,000000|1000
202601|77711144400|TPP|2026|9,100000|1000
202501|11133355577|TPP|2025|8,300000|2000
